data	One_2	One_10	One_12	One_15	One_16	One_21	One_22
Two_19	0	9	0	0	0	0	0
Two_22	0	0	0	0	6	0	0
Two_6	0	0	0	9	0	0	0
Two_21	0	0	0	0	0	0	1
Two_3	0	0	0	0	0	18	0
Two_4	0	0	8	0	0	0	0
Two_1	1	0	0	0	0	0	0
