data	One_9	One_12	One_17	One_18	One_21	One_25
Two_26	17	0	0	0	0	0
Two_22	0	0	5	0	0	0
Two_13	0	1	0	0	0	0
Two_30	0	0	0	0	9	0
Two_6	0	0	0	0	0	19
Two_16	0	0	0	2	0	0
