data	One_2	One_4	One_5	One_10	One_24	One_25	One_27	One_29
Two_29	0	0	0	0	0	4	0	0
Two_7	0	0	0	0	0	0	20	0
Two_6	4	0	0	0	0	0	0	0
Two_18	0	0	13	0	0	0	0	0
Two_15	0	0	0	0	9	0	0	0
Two_8	0	4	0	0	0	0	0	0
Two_24	0	0	0	14	0	0	0	0
Two_17	0	0	0	0	0	0	0	12
