data	One_5	One_7	One_8	One_9	One_10	One_12	One_14	One_16	One_23	One_25	One_26	One_27
Two_24	0	0	0	0	0	0	0	8	0	0	0	0
Two_1	0	0	0	0	0	0	0	0	22	0	0	0
Two_11	0	4	0	0	0	0	0	0	0	0	0	0
Two_26	0	0	0	0	16	0	0	0	0	0	0	0
Two_7	0	0	1	0	0	0	0	0	0	0	0	0
Two_21	0	0	0	0	0	0	0	0	0	0	0	6
Two_19	0	0	0	0	0	7	0	0	0	0	0	0
Two_29	24	0	0	0	0	0	0	0	0	0	0	0
Two_14	0	0	0	0	0	0	0	0	0	11	0	0
Two_28	0	0	0	0	0	0	0	0	0	0	2	0
Two_10	0	0	0	1	0	0	0	0	0	0	0	0
Two_25	0	0	0	0	0	0	11	0	0	0	0	0
