data	One_1	One_2	One_8	One_10	One_12	One_13	One_15	One_24	One_27	One_28	One_29
Two_3	0	0	0	0	9	0	0	0	0	0	0
Two_19	0	0	0	0	0	0	4	0	0	0	0
Two_7	0	0	0	3	0	0	0	0	0	0	0
Two_21	0	0	0	0	0	0	0	3	0	0	0
Two_25	0	0	0	0	0	0	0	0	2	0	0
Two_24	0	0	0	0	0	0	0	0	0	0	5
Two_1	0	0	0	0	0	12	0	0	0	0	0
Two_28	0	26	0	0	0	0	0	0	0	0	0
Two_10	9	0	0	0	0	0	0	0	0	0	0
Two_29	0	0	0	0	0	0	0	0	0	1	0
Two_26	0	0	18	0	0	0	0	0	0	0	0
