data	One_7	One_11	One_12	One_13	One_20	One_23	One_28	One_30
Two_21	0	0	0	0	0	0	0	9
Two_19	0	0	7	0	0	0	0	0
Two_18	0	7	0	0	0	0	0	0
Two_6	0	0	0	0	0	0	22	0
Two_3	0	0	0	0	17	0	0	0
Two_1	6	0	0	0	0	0	0	0
Two_9	0	0	0	4	0	0	0	0
Two_26	0	0	0	0	0	3	0	0
