data	One_1	One_3	One_5	One_6	One_7	One_10	One_12	One_19	One_24
Two_13	0	0	0	7	0	0	0	0	0
Two_22	0	19	0	0	0	0	0	0	0
Two_8	0	0	0	0	1	0	0	0	0
Two_30	29	0	0	0	0	0	0	0	0
Two_25	0	0	20	0	0	0	0	0	0
Two_12	0	0	0	0	0	2	0	0	0
Two_2	0	0	0	0	0	0	0	0	22
Two_16	0	0	0	0	0	0	0	3	0
Two_26	0	0	0	0	0	0	14	0	0
