data	One_8	One_9	One_14	One_17	One_18	One_20	One_26	One_27
Two_14	0	0	0	0	4	0	0	0
Two_29	0	0	0	0	0	9	0	0
Two_25	0	0	0	8	0	0	0	0
Two_3	0	0	0	0	0	0	23	0
Two_9	0	0	5	0	0	0	0	0
Two_2	6	0	0	0	0	0	0	0
Two_8	0	1	0	0	0	0	0	0
Two_22	0	0	0	0	0	0	0	5
