data	One_2	One_3	One_6	One_7	One_8	One_10	One_15	One_17	One_24	One_25	One_27	One_29
Two_19	0	0	0	0	0	0	0	0	0	0	8	0
Two_21	0	18	0	0	0	0	0	0	0	0	0	0
Two_8	0	0	0	0	0	0	0	0	16	0	0	0
Two_29	0	0	0	0	0	19	0	0	0	0	0	0
Two_18	0	0	0	0	0	0	0	0	0	0	0	11
Two_16	0	0	0	0	0	0	0	1	0	0	0	0
Two_26	0	0	20	0	0	0	0	0	0	0	0	0
Two_14	0	0	0	7	0	0	0	0	0	0	0	0
Two_25	23	0	0	0	0	0	0	0	0	0	0	0
Two_4	0	0	0	0	4	0	0	0	0	0	0	0
Two_15	0	0	0	0	0	0	0	0	0	10	0	0
Two_27	0	0	0	0	0	0	12	0	0	0	0	0
