data	One_4	One_5	One_7	One_9	One_18	One_19	One_22
Two_26	0	0	0	0	0	7	0
Two_19	15	0	0	0	0	0	0
Two_12	0	0	5	0	0	0	0
Two_3	0	2	0	0	0	0	0
Two_13	0	0	0	4	0	0	0
Two_24	0	0	0	0	0	0	2
Two_20	0	0	0	0	2	0	0
