data	One_2	One_4	One_6	One_7	One_13	One_15	One_17	One_24
Two_21	0	0	0	0	0	6	0	0
Two_28	0	0	22	0	0	0	0	0
Two_7	0	0	0	0	0	0	0	17
Two_25	0	0	0	18	0	0	0	0
Two_30	0	0	0	0	17	0	0	0
Two_14	12	0	0	0	0	0	0	0
Two_16	0	12	0	0	0	0	0	0
Two_24	0	0	0	0	0	0	7	0
