data	One_6	One_7	One_8	One_11	One_12	One_15	One_20	One_24	One_25	One_29
Two_1	0	0	0	0	0	14	0	0	0	0
Two_30	0	0	0	0	0	0	0	0	0	1
Two_29	0	22	0	0	0	0	0	0	0	0
Two_19	0	0	0	0	0	0	1	0	0	0
Two_7	0	0	0	0	0	0	0	0	18	0
Two_21	15	0	0	0	0	0	0	0	0	0
Two_6	0	0	2	0	0	0	0	0	0	0
Two_23	0	0	0	0	11	0	0	0	0	0
Two_4	0	0	0	0	0	0	0	20	0	0
Two_27	0	0	0	16	0	0	0	0	0	0
